name; score ;volume;coins;markets;liquidity;type
Binance; 9.70 ;23287571727;319;1040;473;central
Coinbase Pro; 8.90 ;5525455532;48;129;306;central
Kraken; 8.60 ;2181937712;59;239;352;central
Bitfinex; 8.40 ;2934950776;145;301;302;central
Bithumb; 8.30 ;2397875074;130;135;201;central
Huobi Global; 8.20 ;10487814120;294;846;388;central
Bitstamp; 8.00 ;1913338763;13;42;224;central
KuCoin; 7.90 ;668546240;251;519;252;central
Binance.US; 7.70 ;419410201;54;107;240;central
Coinone; 7.70 ;641335900;149;149;140;central
bitFlyer; 7.60 ;704555118;5;14;117;central
FTX; 7.60 ;684766002;151;302;177;central
Bittrex; 7.50 ;305557631;316;609;180;central
Poloniex; 7.50 ;354110414;157;286;154;central
Gemini; 7.40 ;336072654;29;48;168;central
OKEx; 7.20 ;5499363020;212;556;293;central
Liquid; 7.20 ;718663295;78;148;138;central
Coincheck; 6.90 ;386290379;2;1;34;central
Zaif; 6.80 ;86651339;8;13;92;central
Korbit; 6.60 ;75913021;27;28;68;central
Gate.io; 6.50 ;612067080;335;612;235;central
BitMax; 6.50 ;569676967;152;220;204;central
itBit; 6.40 ;97690881;6;5;237;central
eToroX; 6.40 ;620501446;19;23;120;central
Crypto.com Exchange; 6.30 ;308199933;40;95;227;central
Coinlist Pro; 6.00 ;6896504;12;15;124;central
Huobi Korea; 6.00 ;145132488;236;580;271;central
Luno; 5.80 ;89656971;14;27;132;central
ProBit Exchange; 5.80 ;160174936;414;773;92;central
EXMO; 5.80 ;109673561;63;180;122;central
Upbit; 5.80 ;3534212380;159;237;185;central
OKCoin; 5.80 ;109972070;24;30;143;central
Bithumb Global; 5.70 ;234755707;204;275;66;central
CoinDCX; 5.70 ;24599547;87;124;329;central
Currency.com; 5.60 ;43029856;13;29;134;central
WazirX; 5.50 ;56215237;110;165;84;central
Indodax; 5.50 ;68882066;111;115;70;central
Binance.KR; 5.40 ;20232069852;78;252;385;central
BtcTurk | Pro; 5.30 ;729580215;16;42;154;central
Bitbank; 5.30 ;600140215;8;13;189;central
OKEx Korea; 5.20 ;9945804;102;216;235;central
AAX; 5.10 ;381397586;31;78;176;central
Bitvavo; 5.00 ;205489122;56;66;161;central
NovaDAX; 4.90 ;231092045;29;88;136;central
Paribu; 4.90 ;234864649;30;29;105;central
CoinEx; 4.80 ;143493893;164;403;135;central
Coinbit; 4.80 ;1398943515;17;33;56;central
StormGain; 4.80 ;104373790;6;12;146;central
Coinfloor; 4.70 ;9018055;3;2;34;central
BitWell; 4.70 ;580161949;12;11;166;central
Bitkub; 4.70 ;122936834;37;38;91;central
CoinFLEX; 4.70 ;28128995;13;16;52;central
B2BX; 4.70 ;49074003;18;33;235;central
Coinsbit; 4.60 ;3380836096;59;185;282;central
Huobi Indonesia; 4.60 ;864036;55;73;221;central
CEX.IO; 4.60 ;79815805;39;123;107;central
GOPAX; 4.60 ;78406621;69;97;77;central
XT; 4.60 ;412074701;90;131;292;central
ZebPay; 4.60 ;46823343;25;38;157;central
Bitso; 4.60 ;41227820;14;25;127;central
Thodex; 4.50 ;252838570;21;38;53;central
DigiFinex; 4.50 ;2379505315;139;284;273;central
HitBTC; 4.50 ;4510790655;395;869;252;central
BTC Markets; 4.50 ;57963829;16;18;70;central
Bitbns; 4.40 ;39286756;84;105;98;central
Alterdice; 4.40 ;91580970;35;101;132;central
Felixo; 4.40 ;26708288;23;34;142;central
CoinZoom; 4.40 ;18630581;27;75;213;central
Rekeningku.com; 4.40 ;15116653;43;42;233;central
Mercado Bitcoin; 4.40 ;26276370;10;10;106;central
MAX Exchange; 4.40 ;31663134;10;18;98;central
Coindeal; 4.40 ;43942413;28;32;80;central
Bitrue; 4.40 ;1065414313;91;204;293;central
Bitfront; 4.40 ;1332958356;7;13;199;central
MXC.COM; 4.40 ;1330053480;290;374;210;central
Bitpanda Pro; 4.30 ;14946603;11;16;145;central
ExMarkets; 4.30 ;253561821;39;69;87;central
Independent Reserve; 4.30 ;36129080;24;54;69;central
