name;score; volume ;coins;markets;liquidity;type
Binance;9.70; 23,287,571,727 ;319;1040;473;central
Coinbase Pro;8.90; 5,525,455,532 ;48;129;306;central
Kraken;8.60; 2,181,937,712 ;59;239;352;central
Bitfinex;8.40; 2,934,950,776 ;145;301;302;central
Bithumb;8.30; 2,397,875,074 ;130;135;201;central
Huobi Global;8.20; 10,487,814,120 ;294;846;388;central
Bitstamp;8.00; 1,913,338,763 ;13;42;224;central
KuCoin;7.90; 668,546,240 ;251;519;252;central
Binance.US;7.70; 419,410,201 ;54;107;240;central
Coinone;7.70; 641,335,900 ;149;149;140;central
bitFlyer;7.60; 704,555,118 ;5;14;117;central
FTX;7.60; 684,766,002 ;151;302;177;central
Bittrex;7.50; 305,557,631 ;316;609;180;central
Poloniex;7.50; 354,110,414 ;157;286;154;central
Gemini;7.40; 336,072,654 ;29;48;168;central
OKEx;7.20; 5,499,363,020 ;212;556;293;central
Liquid;7.20; 718,663,295 ;78;148;138;central
Coincheck;6.90; 386,290,379 ;2;1;34;central
Zaif;6.80; 86,651,339 ;8;13;92;central
Korbit;6.60; 75,913,021 ;27;28;68;central
Gate.io;6.50; 612,067,080 ;335;612;235;central
BitMax;6.50; 569,676,967 ;152;220;204;central
itBit;6.40; 97,690,881 ;6;5;237;central
eToroX;6.40; 620,501,446 ;19;23;120;central
Crypto.com Exchange;6.30; 308,199,933 ;40;95;227;central
Coinlist Pro;6.00; 6,896,504 ;12;15;124;central
Huobi Korea;6.00; 145,132,488 ;236;580;271;central
Luno;5.80; 89,656,971 ;14;27;132;central
ProBit Exchange;5.80; 160,174,936 ;414;773;92;central
EXMO;5.80; 109,673,561 ;63;180;122;central
Upbit;5.80; 3,534,212,380 ;159;237;185;central
OKCoin;5.80; 109,972,070 ;24;30;143;central
Bithumb Global;5.70; 234,755,707 ;204;275;66;central
CoinDCX;5.70; 24,599,547 ;87;124;329;central
Currency.com;5.60; 43,029,856 ;13;29;134;central
WazirX;5.50; 56,215,237 ;110;165;84;central
Indodax;5.50; 68,882,066 ;111;115;70;central
Binance.KR;5.40; 20,232,069,852 ;78;252;385;central
BtcTurk | Pro;5.30; 729,580,215 ;16;42;154;central
Bitbank;5.30; 600,140,215 ;8;13;189;central
OKEx Korea;5.20; 9,945,804 ;102;216;235;central
AAX;5.10; 381,397,586 ;31;78;176;central
Bitvavo;5.00; 205,489,122 ;56;66;161;central
NovaDAX;4.90; 231,092,045 ;29;88;136;central
Paribu;4.90; 234,864,649 ;30;29;105;central
CoinEx;4.80; 143,493,893 ;164;403;135;central
Coinbit;4.80; 1,398,943,515 ;17;33;56;central
StormGain;4.80; 104,373,790 ;6;12;146;central
Coinfloor;4.70; 9,018,055 ;3;2;34;central
BitWell;4.70; 580,161,949 ;12;11;166;central
Bitkub;4.70; 122,936,834 ;37;38;91;central
CoinFLEX;4.70; 28,128,995 ;13;16;52;central
B2BX;4.70; 49,074,003 ;18;33;235;central
Coinsbit;4.60; 3,380,836,096 ;59;185;282;central
Huobi Indonesia;4.60; 864,036 ;55;73;221;central
CEX.IO;4.60; 79,815,805 ;39;123;107;central
GOPAX;4.60; 78,406,621 ;69;97;77;central
XT;4.60; 412,074,701 ;90;131;292;central
ZebPay;4.60; 46,823,343 ;25;38;157;central
Bitso;4.60; 41,227,820 ;14;25;127;central
Thodex;4.50; 252,838,570 ;21;38;53;central
DigiFinex;4.50; 2,379,505,315 ;139;284;273;central
HitBTC;4.50; 4,510,790,655 ;395;869;252;central
BTC Markets;4.50; 57,963,829 ;16;18;70;central
Bitbns;4.40; 39,286,756 ;84;105;98;central
Alterdice;4.40; 91,580,970 ;35;101;132;central
Felixo;4.40; 26,708,288 ;23;34;142;central
CoinZoom;4.40; 18,630,581 ;27;75;213;central
Rekeningku.com;4.40; 15,116,653 ;43;42;233;central
Mercado Bitcoin;4.40; 26,276,370 ;10;10;106;central
MAX Exchange;4.40; 31,663,134 ;10;18;98;central
Coindeal;4.40; 43,942,413 ;28;32;80;central
