name;markets;type
Binance;1040;central
Coinbase Pro;129;central
Kraken;239;central
Bitfinex;301;central
Bithumb;135;central
Huobi Global;846;central
Bitstamp;42;central
KuCoin;519;central
Binance.US;107;central
Coinone;149;central
bitFlyer;14;central
FTX;302;central
Bittrex;609;central
Poloniex;286;central
Gemini;48;central
OKEx;556;central
Liquid;148;central
Coincheck;1;central
Zaif;13;central
Korbit;28;central
Gate.io;612;central
BitMax;220;central
itBit;5;central
eToroX;23;central
Crypto.com Exchange;95;central
Coinlist Pro;15;central
Huobi Korea;580;central
Luno;27;central
ProBit Exchange;773;central
EXMO;180;central
Upbit;237;central
OKCoin;30;central
Bithumb Global;275;central
CoinDCX;124;central
Currency.com;29;central
WazirX;165;central
Indodax;115;central
Binance.KR;252;central
BtcTurk | Pro;42;central
Bitbank;13;central
OKEx Korea;216;central
AAX;78;central
Bitvavo;66;central
NovaDAX;88;central
Paribu;29;central
CoinEx;403;central
Coinbit;33;central
StormGain;12;central
Coinfloor;2;central
BitWell;11;central
Bitkub;38;central
CoinFLEX;16;central
B2BX;33;central
Coinsbit;185;central
Huobi Indonesia;73;central
CEX.IO;123;central
GOPAX;97;central
XT;131;central
ZebPay;38;central
Bitso;25;central
Thodex;38;central
DigiFinex;284;central
HitBTC;869;central
BTC Markets;18;central
Bitbns;105;central
Alterdice;101;central
Felixo;34;central
CoinZoom;75;central
Rekeningku.com;42;central
Mercado Bitcoin;10;central
MAX Exchange;18;central
Coindeal;32;central
Bitrue;204;central
Bitfront;13;central
MXC.COM;374;central
Bitpanda Pro;16;central
ExMarkets;69;central
Independent Reserve;54;central
Paritex;14;central
IndoEx;197;central
FOBLGATE;24;central
Hoo;428;central
WhiteBIT;193;central
Dex-Trade;114;central
LBank;150;central
Coineal;37;central
VinDAX;346;central
Zipmex;77;central
CoinJar;42;central
Coinzo;15;central
BW.com;146;central
Hotbit;1158;central
Cryptology;26;central
CoinMetro;35;central
TimeX;18;central
BitForex;212;central
The Rock Trading;17;central
Bilaxy;429;central
BigONE;143;central
CoinTiger;236;central
ZB.COM;136;central
Decoin;40;central
Bitsonic;81;central
BKEX;163;central
BITEXLIVE;36;central
Finexbox;168;central
Bitbuy;14;central
P2PB2B;223;central
Bitci;54;central
PayBito;52;central
50x;47;central
BitcoinTrade;7;central
Beaxy;33;central
Nominex;59;central
Globitex;7;central
COREDAX;15;central
CryptoMarket;12;central
Folgory;236;central
Kuna;32;central
Bitcoin.com Exchange;188;central
GDAC;34;central
CoinMate;17;central
Cat.Ex;154;central
BTC-Alpha;83;central
Crex24;448;central
NiceHash;18;central
ATOMARS;337;central
ChainX;31;central
Virtuse Exchange;25;central
Lykke Exchange;54;central
OceanEx;88;central
Bibox;268;central
BitMart;177;central
CoinEgg;64;central
BitBay;82;central
Tokens.net;39;central
CoinBene;208;central
ZBG;74;central
Cryptonex;18;central
KickEX;14;central
Tokenize Xchange;44;central
Bitvast;14;central
VELIC;29;central
CoinField;75;central
Hanbitco;49;central
BTCBOX;1;central
Dcoin;84;central
Prizmbit;17;central
Exrates;110;central
CROSS exchange;43;central
Coinut;28;central
Narkasa;8;central
TOKOK;114;central
Coinsuper;61;central
BitUBU;79;central
STEX;279;central
Coinall;136;central
Giottus;50;central
EXIR;9;central
Dove Wallet;162;central
BBX;19;central
TradeOgre;69;central
YoBit;460;central
BTSE;26;central
Koinim;6;central
Bitsten;22;central
Satang Pro;26;central
Bitget;37;central
Bitex.la;1;central
LATOKEN;256;central
HBTC;161;central
C2CX;37;central
Bitribe;57;central
